,polarization,avg_degree,num_states,color
672,15,47,2.0,1
673,15,48,2.0,1
674,15,49,1.0,1
675,16,5,1.0,1
676,16,6,1.0,1
677,16,7,2.0,1
678,16,8,1.0,1
679,16,9,2.0,1
680,16,10,2.0,1
681,16,11,1.0,1
682,16,12,2.0,1
683,16,13,2.0,1
684,16,14,2.0,1
685,16,15,2.0,1
686,16,16,2.0,1
687,16,17,1.0,1
688,16,18,1.0,1
689,16,19,2.0,1
690,16,20,2.0,1
691,16,21,2.0,1
692,16,22,2.0,1
693,16,23,2.0,1
694,16,24,2.0,1
695,16,25,2.0,1
696,16,26,2.0,1
697,16,27,1.0,1
698,16,28,1.0,1
699,16,29,2.0,1
700,16,30,2.0,1
701,16,31,2.0,1
702,16,32,2.0,1
703,16,33,2.0,1
704,16,34,2.0,1
705,16,35,2.0,1
706,16,36,2.0,1
707,16,37,1.0,1
708,16,38,2.0,1
709,16,39,2.0,1
710,16,40,2.0,1
711,16,41,2.0,1
712,16,42,2.0,1
713,16,43,2.0,1
714,16,44,2.0,1
715,16,45,1.0,1
716,16,46,2.0,1
717,16,47,1.0,1
718,16,48,2.0,1
719,16,49,2.0,1
720,17,5,2.0,1
721,17,6,2.0,1
722,17,7,2.0,1
723,17,8,2.0,1
724,17,9,2.0,1
725,17,10,2.0,1
726,17,11,2.0,1
727,17,12,2.0,1
728,17,13,2.0,1
729,17,14,2.0,1
730,17,15,2.0,1
731,17,16,2.0,1
732,17,17,2.0,1
733,17,18,1.0,1
734,17,19,2.0,1
735,17,20,2.0,1
736,17,21,2.0,1
737,17,22,2.0,1
738,17,23,2.0,1
739,17,24,2.0,1
740,17,25,2.0,1
741,17,26,2.0,1
742,17,27,1.0,1
743,17,28,1.0,1
744,17,29,2.0,1
745,17,30,1.0,1
746,17,31,2.0,1
747,17,32,2.0,1
748,17,33,2.0,1
749,17,34,2.0,1
750,17,35,2.0,1
751,17,36,2.0,1
752,17,37,1.0,1
753,17,38,2.0,1
754,17,39,1.0,1
755,17,40,2.0,1
756,17,41,2.0,1
757,17,42,2.0,1
758,17,43,2.0,1
759,17,44,2.0,1
760,17,45,2.0,1
761,17,46,2.0,1
762,17,47,2.0,1
763,17,48,1.0,1
764,17,49,2.0,1
765,18,5,2.0,1
766,18,6,2.0,1
767,18,7,2.0,1
768,18,8,2.0,1
769,18,9,2.0,1
770,18,10,2.0,1
771,18,11,2.0,1
772,18,12,2.0,1
773,18,13,2.0,1
774,18,14,2.0,1
775,18,15,2.0,1
776,18,16,2.0,1
777,18,17,2.0,1
778,18,18,1.0,1
779,18,19,2.0,1
780,18,20,2.0,1
781,18,21,2.0,1
782,18,22,2.0,1
783,18,23,2.0,1
784,18,24,2.0,1
785,18,25,2.0,1
786,18,26,2.0,1
787,18,27,2.0,1
788,18,28,2.0,1
789,18,29,2.0,1
790,18,30,1.0,1
791,18,31,2.0,1
792,18,32,2.0,1
793,18,33,2.0,1
794,18,34,2.0,1
795,18,35,2.0,1
796,18,36,2.0,1
797,18,37,2.0,1
798,18,38,2.0,1
799,18,39,1.0,1
800,18,40,2.0,1
801,18,41,1.0,1
802,18,42,1.0,1
803,18,43,2.0,1
804,18,44,2.0,1
805,18,45,2.0,1
806,18,46,2.0,1
807,18,47,2.0,1
808,18,48,2.0,1
809,18,49,2.0,1
810,19,5,2.0,1
811,19,6,2.0,1
812,19,7,2.0,1
813,19,8,2.0,1
814,19,9,2.0,1
815,19,10,2.0,1
816,19,11,2.0,1
817,19,12,2.0,1
818,19,13,2.0,1
819,19,14,2.0,1
820,19,15,2.0,1
821,19,16,2.0,1
822,19,17,2.0,1
823,19,18,2.0,1
824,19,19,2.0,1
825,19,20,2.0,1
826,19,21,2.0,1
827,19,22,2.0,1
828,19,23,2.0,1
829,19,24,2.0,1
830,19,25,2.0,1
831,19,26,2.0,1
832,19,27,2.0,1
833,19,28,2.0,1
834,19,29,2.0,1
835,19,30,2.0,1
836,19,31,2.0,1
837,19,32,2.0,1
838,19,33,2.0,1
839,19,34,2.0,1
840,19,35,2.0,1
841,19,36,1.0,1
842,19,37,2.0,1
843,19,38,2.0,1
844,19,39,2.0,1
845,19,40,1.0,1
846,19,41,2.0,1
847,19,42,2.0,1
848,19,43,2.0,1
849,19,44,2.0,1
850,19,45,2.0,1
851,19,46,2.0,1
852,19,47,2.0,1
853,19,48,2.0,1
854,19,49,2.0,1
855,20,5,2.0,1
856,20,6,2.0,1
857,20,7,2.0,1
858,20,8,2.0,1
859,20,9,2.0,1
860,20,10,2.0,1
861,20,11,2.0,1
862,20,12,2.0,1
863,20,13,2.0,1
864,20,14,2.0,1
865,20,15,2.0,1
866,20,16,2.0,1
867,20,17,2.0,1
868,20,18,2.0,1
869,20,19,2.0,1
870,20,20,2.0,1
871,20,21,2.0,1
872,20,22,2.0,1
873,20,23,2.0,1
874,20,24,2.0,1
875,20,25,2.0,1
876,20,26,2.0,1
877,20,27,2.0,1
878,20,28,2.0,1
879,20,29,2.0,1
880,20,30,2.0,1
881,20,31,2.0,1
882,20,32,2.0,1
883,20,33,2.0,1
884,20,34,2.0,1
885,20,35,2.0,1
886,20,36,2.0,1
887,20,37,2.0,1
888,20,38,2.0,1
889,20,39,2.0,1
890,20,40,2.0,1
891,20,41,2.0,1
892,20,42,2.0,1
893,20,43,2.0,1
894,20,44,2.0,1
895,20,45,2.0,1
896,20,46,2.0,1
897,20,47,2.0,1
898,20,48,2.0,1
899,20,49,2.0,1
900,21,5,2.0,1
901,21,6,2.0,1
902,21,7,2.0,1
903,21,8,2.0,1
904,21,9,2.0,1
905,21,10,2.0,1
906,21,11,2.0,1
907,21,12,2.0,1
908,21,13,2.0,1
909,21,14,2.0,1
910,21,15,2.0,1
911,21,16,2.0,1
912,21,17,2.0,1
913,21,18,2.0,1
914,21,19,2.0,1
915,21,20,2.0,1
916,21,21,2.0,1
917,21,22,2.0,1
918,21,23,2.0,1
919,21,24,2.0,1
920,21,25,2.0,1
921,21,26,2.0,1
922,21,27,2.0,1
923,21,28,2.0,1
924,21,29,2.0,1
925,21,30,2.0,1
926,21,31,2.0,1
927,21,32,2.0,1
928,21,33,2.0,1
929,21,34,2.0,1
930,21,35,2.0,1
931,21,36,2.0,1
932,21,37,2.0,1
933,21,38,2.0,1
934,21,39,2.0,1
935,21,40,2.0,1
936,21,41,2.0,1
937,21,42,2.0,1
938,21,43,2.0,1
939,21,44,2.0,1
940,21,45,2.0,1
941,21,46,2.0,1
942,21,47,2.0,1
943,21,48,2.0,1
944,21,49,1.0,1
945,22,5,2.0,1
946,22,6,2.0,1
947,22,7,2.0,1
948,22,8,2.0,1
949,22,9,2.0,1
950,22,10,2.0,1
951,22,11,2.0,1
952,22,12,2.0,1
953,22,13,2.0,1
954,22,14,2.0,1
955,22,15,2.0,1
956,22,16,2.0,1
957,22,17,2.0,1
958,22,18,2.0,1
959,22,19,2.0,1
960,22,20,2.0,1
961,22,21,2.0,1
962,22,22,2.0,1
963,22,23,2.0,1
964,22,24,2.0,1
965,22,25,2.0,1
966,22,26,2.0,1
967,22,27,2.0,1
968,22,28,2.0,1
969,22,29,2.0,1
970,22,30,2.0,1
971,22,31,2.0,1
972,22,32,2.0,1
973,22,33,2.0,1
974,22,34,2.0,1
975,22,35,2.0,1
976,22,36,2.0,1
977,22,37,2.0,1
978,22,38,2.0,1
979,22,39,2.0,1
980,22,40,2.0,1
981,22,41,2.0,1
982,22,42,2.0,1
983,22,43,2.0,1
984,22,44,2.0,1
985,22,45,2.0,1
986,22,46,2.0,1
987,22,47,2.0,1
988,22,48,2.0,1
989,22,49,2.0,1
990,23,5,2.0,1
991,23,6,2.0,1
992,23,7,2.0,1
993,23,8,2.0,1
994,23,9,2.0,1
995,23,10,2.0,1
996,23,11,2.0,1
997,23,12,2.0,1
998,23,13,2.0,1
999,23,14,2.0,1
1000,23,15,2.0,1
1001,23,16,2.0,1
1002,23,17,2.0,1
1003,23,18,2.0,1
1004,23,19,2.0,1
1005,23,20,2.0,1
1006,23,21,2.0,1
1007,23,22,2.0,1
1008,23,23,2.0,1
1009,23,24,2.0,1
1010,23,25,2.0,1
1011,23,26,2.0,1
1012,23,27,2.0,1
1013,23,28,2.0,1
1014,23,29,2.0,1
1015,23,30,2.0,1
1016,23,31,2.0,1
1017,23,32,2.0,1
1018,23,33,2.0,1
1019,23,34,2.0,1
1020,23,35,2.0,1
1021,23,36,2.0,1
1022,23,37,2.0,1
1023,23,38,2.0,1
1024,23,39,2.0,1
1025,23,40,2.0,1
1026,23,41,2.0,1
1027,23,42,2.0,1
1028,23,43,2.0,1
1029,23,44,2.0,1
1030,23,45,2.0,1
1031,23,46,2.0,1
1032,23,47,2.0,1
1033,23,48,2.0,1
1034,23,49,2.0,1
1035,24,5,2.0,1
1036,24,6,2.0,1
1037,24,7,2.0,1
1038,24,8,2.0,1
1039,24,9,2.0,1
1040,24,10,2.0,1
1041,24,11,2.0,1
1042,24,12,2.0,1
1043,24,13,2.0,1
1044,24,14,2.0,1
1045,24,15,2.0,1
1046,24,16,2.0,1
1047,24,17,2.0,1
1048,24,18,2.0,1
1049,24,19,2.0,1
1050,24,20,2.0,1
1051,24,21,2.0,1
1052,24,22,2.0,1
1053,24,23,2.0,1
1054,24,24,2.0,1
1055,24,25,2.0,1
1056,24,26,2.0,1
1057,24,27,2.0,1
1058,24,28,2.0,1
1059,24,29,2.0,1
1060,24,30,2.0,1
1061,24,31,2.0,1
1062,24,32,2.0,1
1063,24,33,2.0,1
1064,24,34,2.0,1
1065,24,35,2.0,1
1066,24,36,2.0,1
1067,24,37,2.0,1
1068,24,38,2.0,1
1069,24,39,2.0,1
1070,24,40,2.0,1
1071,24,41,2.0,1
1072,24,42,2.0,1
1073,24,43,2.0,1
1074,24,44,2.0,1
1075,24,45,2.0,1
1076,24,46,2.0,1
1077,24,47,2.0,1
1078,24,48,2.0,1
1079,24,49,2.0,1
1080,25,5,2.0,1
1081,25,6,2.0,1
1082,25,7,2.0,1
1083,25,8,2.0,1
1084,25,9,2.0,1
1085,25,10,2.0,1
1086,25,11,2.0,1
1087,25,12,2.0,1
1088,25,13,2.0,1
1089,25,14,2.0,1
1090,25,15,3.0,1
1091,25,16,2.0,1
1092,25,17,2.0,1
1093,25,18,3.0,1
1094,25,19,2.0,1
1095,25,20,3.0,1
1096,25,21,2.0,1
1097,25,22,2.0,1
1098,25,23,2.0,1
1099,25,24,3.0,1
1100,25,25,2.0,1
1101,25,26,2.0,1
1102,25,27,2.0,1
1103,25,28,2.0,1
1104,25,29,2.0,1
1105,25,30,2.0,1
1106,25,31,2.0,1
1107,25,32,2.0,1
1108,25,33,2.0,1
1109,25,34,2.0,1
1110,25,35,2.0,1
1111,25,36,2.0,1
1112,25,37,2.0,1
1113,25,38,2.0,1
1114,25,39,2.0,1
1115,25,40,2.0,1
1116,25,41,2.0,1
1117,25,42,2.0,1
1118,25,43,2.0,1
1119,25,44,2.0,1
1120,25,45,2.0,1
1121,25,46,2.0,1
1122,25,47,2.0,1
1123,25,48,2.0,1
1124,25,49,2.0,1
1125,26,5,2.0,1
1126,26,6,2.0,1
1127,26,7,2.0,1
1128,26,8,2.0,1
1129,26,9,2.0,1
1130,26,10,2.0,1
1131,26,11,2.0,1
1132,26,12,2.0,1
1133,26,13,2.0,1
1134,26,14,2.0,1
1135,26,15,2.0,1
1136,26,16,2.0,1
1137,26,17,2.0,1
1138,26,18,2.0,1
1139,26,19,2.0,1
1140,26,20,2.0,1
1141,26,21,2.0,1
1142,26,22,2.0,1
1143,26,23,2.0,1
1144,26,24,2.0,1
1145,26,25,2.0,1
1146,26,26,2.0,1
1147,26,27,2.0,1
